item,itemLabel,startDate,endDate,sourceDate,psid
Q97495999,António Ventura de Azevedo,1990,1994,,Q97495999-6d55482a-487b-01c2-5483-80b92495bedf
Q97482147,Isalino Samuel Mendes,1994,2004,,Q97482147-bf76cf9a-4f92-ff4a-0e4c-97799b055437
Q97482185,Domingos Hungo,1994,1994,,Q97482185-ff3c85ff-4b81-9e5d-6e2d-736093aff68b
Q97482111,Jorge Inocêncio Dombolo,2004,2009,,Q97482111-01ca6c89-40d8-da3d-1c4d-5eadf84925a6
Q3187284,João Bernardo de Miranda,2009,2018,,Q3187284-F08240C4-D6D9-4960-9CA7-8C8A428E0A6E
Q97482106,Mara Baptista Quiosa,2018,,,Q97482106-fc2886bc-4846-4830-5ace-ab4326a6e7b4
