@@,item,name,party,area,startdate,enddate,gender
---,Q2821497,Abel Chivukuvuku,,,2012,,male
+++,,ABÍLIO JOSÉ AUGUSTO KAMALATA NUMA,Q28699,,,,male
+++,Q59164305,ADALBERTO COSTA JÚNIOR,Q28699,,,,male
+++,Q6671916,ADRIANO BOTELHO DE VASCONCELOS,Q28551,,,,male
+++,,ADÃO CRISTÓVÃO NETO,Q28551,,,,male
+++,,AFONSO MARIA VABA,Q28551,,,,male
+++,,AGOSTINHO NDJAKA,Q28551,,,,male
+++,,ALBERTINA CHITUMBO CUVANGO LIMUETA,Q28551,,,,female
+++,,ALBERTINA CUGINGOMOCO MUXINDO,Q28551,,,,female
+++,Q51883208,ALBERTINA NAVEMBA NGOLO,Q28699,,,,female
+++,,ALBERTINA TERESA JOSÉ,Q28551,,,,female
+++,Q59209555,ALCIDES SAKALA SIMÕES,Q28699,,,,male
+++,,ALEXANDRE ANTÓNIO MOTA COELHO MOREIRA BASTOS,Q28551,,,,male
+++,Q59209560,ALEXANDRE SEBASTIÃO ANDRÉ,Q1129430,,,,male
+++,,ALFREDO BERNER,Q28551,,,,male
+++,Q59209566,ALFREDO JUNQUEIRA DALA,Q28551,,,,male
+++,Q51883315,AMÉLIA CALUMBO QUINTA,Q28551,,,,female
+++,Q59660256,AMÉRICO ANTÓNIO CUONONOCA,Q28551,,,,male
+++,,ANA MARAVILHA BORGES ALÉ FERNANDES,Q28551,,,,female
+++,,ANA MARIA MANUEL JOÃO TAVEIRA JOSÉ,Q28551,,,,female
+++,,ANABELA CAIOVO NGUNGA,Q28551,,,,female
+++,,ANABELA MANUEL DOS SANTOS ALBERTO,Q28551,,,,female
---,Q29876330,Ananias Escórcio,,,2012-09-27,2016-04-01,male
+++,,ANANIAS ESCÓRCIO,Q28551,,,,male
+++,,ANATILDE DE JESUS DE OLIVEIRA FREIRE CAMPOS,Q1129430,,,,female
+++,Q59660259,ANDRÉ GASPAR MENDES DE CARVALHO,Q1129430,,,,male
+++,,ANGELINA ADOLFO MACAI,Q28551,,,,female
+++,,ANITA RAQUEL BELA FILIPE,Q28699,,,,female
+++,,ANTÓNIO DOS SANTOS FRANÇA,Q28551,,,,male
+++,,ANTÓNIO FELICIANO FERREIRA JÚNIOR,Q28551,,,,male
+++,,ANTÓNIO FRANCISCO CORTEZ,Q28551,,,,male
+++,,ANTÓNIO VICTORINO,Q28551,,,,male
+++,Q3810723,ANÍBAL JOÃO DA SILVA MELO,Q28551,,,,male
+++,,ARMANDO DA CRUZ NETO,Q28551,,,,male
+++,,ARMANDO DALA,Q28551,,,,male
+++,,AURORA JUNJO CASSULE,Q28551,,,,female
+++,,BENEDITO DANIEL,Q1674856,,,,male
+++,Q16497857,BENTO JOAQUIM SEBASTIÃO FRANCISCO BENTO,Q28551,,,,male
+++,,BENTO RAIMUNDO KANDALA,Q28551,,,,male
+++,,BIBIANA NANDOMBUA,Q28551,,,,female
+++,Q4931550,BOAVENTURA DA SILVA CARDOSO,Q28551,,,,male
---,Q16336949,Bornito de Sousa,,,2012,,male
+++,,CARLOS ALBERTO FERREIRA PINTO,Q28551,,,,male
+++,,CARLOS ALBERTO PEREIRA DOS SANTOS VAN-DÚNEM,Q28551,,,,male
+++,,CARLOS DA ROCHA CRUZ,Q28551,,,,male
+++,,CARLOS DE OLIVEIRA FONTOURA,Q28699,,,,male
+++,,CARLOS DOMINGUES BENDINHA DE ALMEIDA,Q28551,,,,male
+++,,CARLOS TIAGO KANDANDA,Q1129430,,,,male
->,Q5044792,Carolina Cerqueira->CAROLINA CERQUEIRA,NULL->Q28551,,2012-09-27,2018-08-22,female
+++,,CAROLINA CRISTINA ELIAS,Q28551,,,,female
+++,,CASSONGO JOÃO DA CRUZ,Q28551,,,,male
+++,,CLARICE MATILDE MUNGA KAPUTU,Q28699,,,,female
+++,,CÂNDIDA CELESTE DA SILVA,Q28551,,,,female
+++,,DANIEL JOSÉ DOMINGOS,Q28699,,,,male
+++,,DEMÓSTENES AMÓS CHILINGUTILA,Q28699,,,,male
+++,,DESIDÉRIO DA GRAÇA MPINGUE KALENGA WAPOTA,Q28551,,,,male
+++,,DIÓGENES DO ESPÍRITO SANTO OLIVEIRA,Q28551,,,,male
+++,,DOMINGOS KAJAMA,Q28551,,,,male
+++,,DOMINGOS MARTINS NGOLA,Q28551,,,,male
+++,,DOMINGOS PAULINO DEMBELE,Q28551,,,,male
+++,,DULCE GINGA,Q28551,,,,female
+++,,EDUARDA MARIA NICOLAU SILVESTRE MAGALHÃES,Q28551,,,,female
+++,,EDUARDO GOMES NELUMBA,Q28551,,,,male
+++,,EDUARDO KUANGANA,Q1674856,,,,male
+++,,ELIAS PIEDOSO CHIMUCO,Q28551,,,,male
+++,,ELIOTH WONGIMBA EKOLELO,Q28699,,,,male
