item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender
,ABÍLIO JOSÉ AUGUSTO KAMALATA NUMA,Q28699,UNITA,,Nacional,,,male
Q59164305,ADALBERTO COSTA JÚNIOR,Q28699,UNITA,,Nacional,,,male
Q6671916,ADRIANO BOTELHO DE VASCONCELOS,Q28551,MPLA,,Nacional,,,male
,ADÃO CRISTÓVÃO NETO,Q28551,MPLA,,Bengo,,,male
,AFONSO MARIA VABA,Q28551,MPLA,,Cabinda,,,male
,AGOSTINHO NDJAKA,Q28551,MPLA,,Província do Huambo,,,male
,ALBERTINA CHITUMBO CUVANGO LIMUETA,Q28551,MPLA,,Moxico,,,female
,ALBERTINA CUGINGOMOCO MUXINDO,Q28551,MPLA,,Uíge,,,female
Q51883208,ALBERTINA NAVEMBA NGOLO,Q28699,UNITA,,Nacional,,,female
,ALBERTINA TERESA JOSÉ,Q28551,MPLA,,Nacional,,,female
Q59209555,ALCIDES SAKALA SIMÕES,Q28699,UNITA,,Nacional,,,male
,ALEXANDRE ANTÓNIO MOTA COELHO MOREIRA BASTOS,Q28551,MPLA,,Nacional,,,male
Q59209560,ALEXANDRE SEBASTIÃO ANDRÉ,Q1129430,CASA-CE,,Nacional,,,male
,ALFREDO BERNER,Q28551,MPLA,,Nacional,,,male
Q59209566,ALFREDO JUNQUEIRA DALA,Q28551,MPLA,,Malange,,,male
Q51883315,AMÉLIA CALUMBO QUINTA,Q28551,MPLA,,Nacional,,,female
Q59660256,AMÉRICO ANTÓNIO CUONONOCA,Q28551,MPLA,,Nacional,,,male
,ANA MARAVILHA BORGES ALÉ FERNANDES,Q28551,MPLA,,Nacional,,,female
,ANA MARIA MANUEL JOÃO TAVEIRA JOSÉ,Q28551,MPLA,,Malange,,,female
,ANABELA CAIOVO NGUNGA,Q28551,MPLA,,Bié,,,female
,ANABELA MANUEL DOS SANTOS ALBERTO,Q28551,MPLA,,Nacional,,,female
,ANANIAS ESCÓRCIO,Q28551,MPLA,,Nacional,,,male
,ANATILDE DE JESUS DE OLIVEIRA FREIRE CAMPOS,Q1129430,CASA-CE,,Nacional,,,female
Q59660259,ANDRÉ GASPAR MENDES DE CARVALHO,Q1129430,CASA-CE,,Nacional,,,male
,ANGELINA ADOLFO MACAI,Q28551,MPLA,,Lunda Sul,,,female
,ANITA RAQUEL BELA FILIPE,Q28699,UNITA,,Nacional,,,female
,ANTÓNIO DOS SANTOS FRANÇA,Q28551,MPLA,,Nacional,,,male
,ANTÓNIO FELICIANO FERREIRA JÚNIOR,Q28551,MPLA,,Nacional,,,male
,ANTÓNIO FRANCISCO CORTEZ,Q28551,MPLA,,Nacional,,,male
,ANTÓNIO VICTORINO,Q28551,MPLA,,Uíge,,,male
Q3810723,ANÍBAL JOÃO DA SILVA MELO,Q28551,MPLA,,Nacional,,,male
,ARMANDO DA CRUZ NETO,Q28551,MPLA,,,,,male
,ARMANDO DALA,Q28551,MPLA,,Nacional,,,male
,AURORA JUNJO CASSULE,Q28551,MPLA,,Nacional,,,female
,BENEDITO DANIEL,Q1674856,PRS,,Nacional,,,male
Q16497857,BENTO JOAQUIM SEBASTIÃO FRANCISCO BENTO,Q28551,MPLA,,Província de Luanda,,,male
,BENTO RAIMUNDO KANDALA,Q28551,MPLA,,Nacional,,,male
,BIBIANA NANDOMBUA,Q28551,MPLA,,Huambo,,,female
Q4931550,BOAVENTURA DA SILVA CARDOSO,Q28551,MPLA,,Malange,,,male
,CARLOS ALBERTO FERREIRA PINTO,Q28551,MPLA,,Nacional,,,male
,CARLOS ALBERTO PEREIRA DOS SANTOS VAN-DÚNEM,Q28551,MPLA,,Nacional,,,male
,CARLOS DA ROCHA CRUZ,Q28551,MPLA,,Namibe,,,male
,CARLOS DE OLIVEIRA FONTOURA,Q28699,UNITA,,Nacional,,,male
,CARLOS DOMINGUES BENDINHA DE ALMEIDA,Q28551,MPLA,,Nacional,,,male
,CARLOS TIAGO KANDANDA,Q1129430,CASA-CE,,Nacional,,,male
Q5044792,CAROLINA CERQUEIRA,Q28551,MPLA,,Nacional,,,female
,CAROLINA CRISTINA ELIAS,Q28551,MPLA,,Namibe,,,female
,CASSONGO JOÃO DA CRUZ,Q28551,MPLA,,Lunda Sul,,,male
