@@,item,itemlabel,position,positionlabel,start,end
->,Q58306,Alfonso de Sousa dos Anjos,Q54417158,Minister of Foreign Affairs,2008-10-01->2008-10-03,2010-11-26->2010-11-20
->,Q109984875,Ana Paula do Sacramento Neto,Q109984686,Minister of Youth and Sports,2017-09-27->2017-09-26,NULL->2020-01-17
---,Q111954368,Angelo Barros da Veiga Tavares,Q54479352,Minister of the Interior,2017-09-26,2019-07-24
---,Q111954368,Angelo Barros da Veiga Tavares,Q54479352,Minister of the Interior,2012-09-26,2017-09-26
+++,,Angelo Barros da Veiga Tavares,Q54479352,Minister of the Interior,2017-09-26,2019-07-24
+++,,Angelo Barros da Veiga Tavares,Q54479352,Minister of the Interior,2012-09-26,2017-09-26
->,Q373591,António Paulo Kassoma,Q20706562,Prime Minister,2008-09-30->2008-10-03,2010-02-05->2010-02-06
---,Q60918484,Archer Mangueira,Q6866123,Minister of Finance of Angola,2016-09-05,2019-10-08
->,Q16190785,Armando Manuel,Q6866123,Minister of Finance,2013-05-09->2013-05-07,2016-09-05->2016-08-28
+++,Q60918484,Augusto Archer de Sousa Mangueira,Q6866123,Minister of Finance,2017-09-26,2019-10-08
+++,Q60918484,Augusto Archer de Sousa Mangueira,Q6866123,Minister of Finance,2016-08-28,2017-09-26
---,Q59156960,Augusto da Silva Tomás,Q109984664,Minister of Transport,2017-09-26,2020-01-17
---,Q59156960,Augusto da Silva Tomás,Q109984664,Minister of Transport,2008-10-03,2017-09-26
+++,Q59156960,Augusto da Silva Tomás,Q109984664,Minister of Transport,2017-09-26,2020-01-17
+++,Q59156960,Augusto da Silva Tomás,Q109984664,Minister of Transport,2008-10-03,2017-09-26
---,Q111954371,Bernarda Goncalves da Silva,Q111945557,Minister of Industry,2012-09-26,2017-09-26
---,Q111954371,Bernarda Goncalves da Silva,Q111945557,Minister of Industry,2017-09-26,2020-01-17
+++,,Bernarda Goncalves da Silva,Q111945557,Minister of Industry,2017-09-26,2020-01-17
+++,,Bernarda Goncalves da Silva,Q111945557,Minister of Industry,2012-09-26,2017-09-26
---,Q16336949,Bornito de Sousa,Q3382672,Vice President of Angola,2017-09-26,
->,Q111916352,Carlos Alberto Lopez,Q6866123,Minister of Finance,2010-02-01->2010-02-06,2013-05-01->2013-05-07
---,Q5044792,Carolina Cerqueira,Q65081943,Minister of Culture,2017-09-26,2020-01-17
---,Q5044792,Carolina Cerqueira,Q65081943,Minister of Culture,2016-03-07,2017-09-26
+++,Q5044792,Carolina Cerqueira,Q65081943,Minister of Culture,2017-09-26,2020-01-17
+++,Q5044792,Carolina Cerqueira,Q65081943,Minister of Culture,2016-03-07,2017-09-26
->,Q75837385,Diamantino Pedro Azevedo,Q54483257,Minister of Mineral Resources and Petroleum,2017-09-01->2017-09-26,NULL->2020-01-17
->,Q109984873,Eugénio César Laborinho,Q54479352,Minister of the Interior,2019-07-25->2019-07-24,NULL->2020-01-17
->,Q109984872,Faustina Fernandes Inglês de Almeida Alves->Victoria Francisco Correia da Conceicao,Q65081634,"Minister of Social Action, Family and Gender Promotion",2019-01-01->2017-09-26,NULL->2020-01-17
->,Q310815,Fernando da Piedade,Q54479352,Minister of the Interior,1999-01-01->1999-01-29,2002-01-01->2002-12-05
---,Q310815,Fernando da Piedade Dias dos Santos,Q20706562,Prime Minister of Angola,2002-12-06,2008-09-30
->,Q310815,Fernando da Piedade Dias dos Santos->Fernando da Piedade,Q3382672,Vice President of Angola->Vice President,2010-02-18->2010-02-06,2012-09-26
->,Q109984862,Francisco Manuel Monteiro de Queiroz->Rui Jorge Carneiro Mangueira,Q109984660,Minister of Justice and Human Rights,2017-09-27->2012-09-26,NULL->2017-09-26
->,Q1457599,George Rebelo Chicoty,Q54417158,Minister of Foreign Affairs,2010-11-26->2010-11-20,2017-09-28->2017-09-26
---,Q109984647,Joao Baptista Borges,Q65082136,Minister of Energy and Water,2012-09-26,2017-09-26
+++,Q109984647,Joao Baptista Borges,Q65082136,Minister of Energy and Water,2017-09-26,2020-01-17
+++,Q109984647,Joao Baptista Borges,Q65082136,Minister of Energy and Water,2012-09-26,2017-09-26
->,Q3187284,Joao Bernardo de Miranda,Q54417158,Minister of Foreign Affairs,1999-01-01->1999-01-29,2008-10-01->2008-10-03
->,Q28650390,Joao Manuel Lorenco,Q54416499,Minister of Defence,2014-04-22->2014-04-23,2017-09-26
->,Q3186515,José Pedro de Morais,Q6866123,Minister of Finance,2002-12-01->2002-12-05,2008-10-01->2008-10-03
---,Q111954397,José de Carvalho da Rocha,Q109984669,Minister of Telecommunications and Information Technologies,2017-09-26,2020-01-17
