minister,country,startdate,enddate,position
Abraao Pio dos Santos Gourgel,Angola,2010-09-27,2017-09-26,Economy
Adao Francisco Correia de Almeida,Angola,2017-09-26,2019-12-31,Territory and State Reform
Adelina Manassas,Angola,1999-01-29,2000-01-28,Health
Adão do Nascimento,Angola,2012-09-26,2017-09-26,Higher Education
Afonso Pedro Canga,Angola,2008-10-03,2010-02-06,Agriculture and Rural Development
Albertina Julia Hamukuya,Angola,2000-01-28,2008-10-03,Health
Alfonso de Sousa dos Anjos,Angola,2008-10-03,2010-11-20,Foreign Affairs
Ana Dias Lourenco,Angola,1999-01-29,2012-09-26,Planning
Ana Paula Elias,Angola,2019-10-08,2019-12-31,Education
Ana Paula de Carvalho,Angola,2017-09-26,2019-12-31,Urban Planning and Housing
Ana Paula do Sacramento Neto,Angola,2017-09-26,2019-12-31,Youth and Sport
Angelo Barros da Veiga Tavares,Angola,2012-09-26,2017-09-26,Interior
Angelo Barros da Veiga Tavares,Angola,2017-09-26,2019-07-24,Interior
Anibal Joao da Silva Melo,Angola,2017-09-26,2019-12-31,Social Communications
Antonio Domingos Pitra Costa Neto,Angola,1992-12-02,2017-09-26,"Public Administration, Labour and Social Security"
Antonio Henriques da Silva,Angola,1999-01-29,2002-12-05,Public Works and Urban Affairs
António Bento Bembe,Angola,2010-02-06,2012-09-26,Human Rights
António Francisco de Assis,Angola,2019-07-24,2019-12-31,Agriculture and Forestry
António Paulo Kassoma,Angola,2008-10-03,2010-02-06,Prime Minister
Armando Manuel,Angola,2013-05-07,2016-08-28,Finance
Augusto Archer de Sousa Mangueira,Angola,2016-08-28,2017-09-26,Finance
Augusto Archer de Sousa Mangueira,Angola,2017-09-26,2019-10-08,Finance
Augusto da Silva Tomás,Angola,2008-10-03,2017-09-26,Transport
Augusto da Silva Tomás,Angola,2017-09-26,2019-12-31,Transport
Bernarda Goncalves da Silva,Angola,2012-09-26,2017-09-26,Industry
Bernarda Goncalves da Silva,Angola,2017-09-26,2019-12-31,Industry
Boaventura Cardoso,Angola,2002-12-05,2008-10-03,Culture
Bornito de Sousa Baltazar Diogo,Angola,2010-02-06,2017-09-26,Territorial Administration
Branca Manuel da Costa Neto do Espírito Santo,Angola,2016-03-07,2017-09-26,Urbanism and Housing
Candida Celeste da Silva,Angola,1999-01-29,2008-10-03,Women's Affairs
Carlos Alberto Lopez,Angola,2010-02-06,2013-05-07,Finance
Carolina Cerqueira,Angola,2010-02-06,2012-09-26,Social Communications
Carolina Cerqueira,Angola,2016-03-07,2017-09-26,Culture
Carolina Cerqueira,Angola,2017-09-26,2019-12-31,Culture
Cândido Pereira dos Santos Van-Duném,Angola,2010-02-06,2014-04-23,Defence
Desiderio da Graca Verissimo da Costa,Angola,2002-12-05,2008-10-03,Petroleum
Diamantino Pedro Azevedo,Angola,2017-09-26,2019-12-31,Petroleum
Diekumpuna Sita Jose,Angola,2004-10-23,2008-10-03,Urban Affairs and Environment
Emanuela Afonso Vieira Lopes,Angola,2008-10-03,2012-09-26,Energy and Water
Eugénio César Laborinho,Angola,2019-07-24,2019-12-31,Interior
Fernando Alberto de Lemos Soares da Fonseca,Angola,2010-11-20,2012-09-26,Urban Affairs and Construction
Fernando Faustino Muteka,Angola,1997-04-09,2004-10-23,Territorial Administration
Fernando José de França Dias Van-Dúnem,Angola,1996-06-03,2002-12-05,Prime Minister
Fernando da Piedade,Angola,1999-01-29,2002-12-05,Interior
Fernando da Piedade,Angola,2010-02-06,2012-09-26,Vice-President
Fiel Domingos Constantino,Angola,2016-03-07,2017-09-26,Trade
Francisco Higino Carneiro,Angola,2002-12-05,2010-02-06,Public Works
Genoveva da Conceicao Lino,Angola,2008-10-03,2012-09-26,Family Issues and the Promotion of Women
George Rebelo Chicoty,Angola,2010-11-20,2017-09-26,Foreign Affairs
Gilberto Buta Lutukuta,Angola,1999-01-29,2008-10-03,Agriculture and Rural Development
Goncalves Manuel Muandumba,Angola,2008-10-03,2017-09-26,Youth and Sport
Guilhermina Contreiras da Costa Prata,Angola,2008-10-03,2012-09-26,Justice
Jesus Faria Maiato,Angola,2017-09-26,2019-12-31,"Labour, Public Administration and Social Security"
Joao Baptista Borges,Angola,2012-09-26,2017-09-26,Energy and Water
Joao Baptista Borges,Angola,2017-09-26,2019-12-31,Energy and Water
Joao Baptista Kussumua,Angola,2002-04-02,2017-09-26,Assistance and Social Reintegration
Joao Baptista Ngandagina,Angola,1999-02-24,2008-10-03,Science and Technology
Joao Bernardo de Miranda,Angola,1999-01-29,2008-10-03,Foreign Affairs
Joao Ernesto dos Santos,Angola,2017-09-26,2019-12-31,War Veterans
Joao Manuel Lorenco,Angola,2014-04-23,2017-09-26,Defence
Joaquim Duarte da Costa David,Angola,1999-01-29,2000-10-09,Finance
Joaquim Ekuma Muafumua,Angola,2004-10-23,2008-10-03,Trade
Job Graça,Angola,2012-09-26,2017-09-26,Planning and Territorial Development
Joffre Van-Dunem Junior,Angola,2017-09-26,2019-12-31,Trade
Jorge Alicerces Valentim,Angola,1997-04-09,2008-10-03,Hotel and Tourism
Jose Marcos Barrica,Angola,1999-01-29,2008-10-03,Youth and Sport
Jose Maria Botelho de Vasconcelhos,Angola,1999-01-29,2002-12-05,Petroleum
José António da Conceição e Silva,Angola,2012-09-26,2016-03-07,Urbanism and Housing
José Luís de Matos,Angola,2012-09-26,2017-09-26,Social Communications
José Pedro de Morais,Angola,2002-12-05,2008-10-03,Finance
José Vieira Dias Van-Duném,Angola,2008-10-03,2016-03-07,Health
José de Carvalho da Rocha,Angola,2008-10-03,2017-09-26,Telecommunications and Information Technologies
José de Carvalho da Rocha,Angola,2017-09-26,2019-12-31,Telecommunications and Information Technologies
José dos Santos da Silva Ferreira,Angola,2010-02-06,2010-11-20,Urban Affairs and Housing
Julio Bessa,Angola,2000-10-09,2002-12-05,Finance
Kundi Paihama,Angola,1999-01-29,2010-02-06,Defence
Licinio Tavares Ribeiro,Angola,1997-04-09,2008-10-03,Posts and Telecommunications
Luis Filipe da Silva,Angola,1999-01-29,2002-12-05,Energy and Water
Luís Gomes Sambo,Angola,2016-03-07,2017-09-26,Health
Mankenda Ambroise,Angola,2008-10-03,2010-02-06,Geology and Mines
Manuel Antonio Africano,Angola,2000-01-28,2008-10-03,Geology and Mines
Manuel Antonoi Rabelais,Angola,2008-10-03,2010-02-06,Social Communications
Manuel Bunjo,Angola,1999-02-24,2000-01-28,Geology and Mines
Manuel Domingos Augusto,Angola,2017-09-26,2019-12-31,Foreign Affairs
Manuel Domingos Vicente,Angola,2017-09-26,2019-12-31,Vice-President
Manuel Francisco Queirós,Angola,2012-09-26,2017-09-26,Geology and Mines
