item,itemLabel,position,positionLabel,start,end
,Jose Marcos Barrica,Q109984686,Minister of Youth and Sports,1999-01-29,2008-10-03
,Jose Maria Botelho de Vasconcelhos,Q54483257,Minister of Mineral Resources and Petroleum,1999-01-29,2002-12-05
,José António da Conceição e Silva,Q111945585,Minister of Urbanism and Housing,2012-09-26,2016-03-07
,José Luís de Matos,Q111945575,Minister of Social Communications,2012-09-26,2017-09-26
Q3186515,José Pedro de Morais,Q6866123,Minister of Finance,2002-12-05,2008-10-03
,José Vieira Dias Van-Duném,Q108282421,Minister of Health,2008-10-03,2016-03-07
,José de Carvalho da Rocha,Q109984669,Minister of Telecommunications and Information Technologies,2008-10-03,2017-09-26
,José de Carvalho da Rocha,Q109984669,Minister of Telecommunications and Information Technologies,2017-09-26,2019-12-31
,José dos Santos da Silva Ferreira,Q111945583,Minister of Urban Affairs and Housing,2010-02-06,2010-11-20
Q105491332,Julio Bessa,Q6866123,Minister of Finance,2000-10-09,2002-12-05
Q6444389,Kundi Paihama,Q54416499,Minister of Defence,1999-01-29,2010-02-06
,Licinio Tavares Ribeiro,Q111945569,Minister of Posts and Telecommunications,1997-04-09,2008-10-03
,Luis Filipe da Silva,Q65082136,Minister of Energy and Water,1999-01-29,2002-12-05
Q3268186,Luís Gomes Sambo,Q108282421,Minister of Health,2016-03-07,2017-09-26
,Mankenda Ambroise,Q111945551,Minister of Geology and Mines,2008-10-03,2010-02-06
,Manuel Antonio Africano,Q111945551,Minister of Geology and Mines,2000-01-28,2008-10-03
,Manuel Antonoi Rabelais,Q111945575,Minister of Social Communications,2008-10-03,2010-02-06
,Manuel Bunjo,Q111945551,Minister of Geology and Mines,1999-02-24,2000-01-28
Q60865113,Manuel Domingos Augusto,Q54417158,Minister of Foreign Affairs,2017-09-26,2019-12-31
Q973742,Manuel Domingos Vicente,Q3382672,Vice President,2017-09-26,2019-12-31
,Manuel Francisco Queirós,Q111945551,Minister of Geology and Mines,2012-09-26,2017-09-26
Q23892778,Manuel Neto da Costa,Q65081971,Minister of Economy and Planning,2019-07-24,2019-12-31
,Manuel Nunes Junior,Q111945546,Minister of Economy,2008-10-03,2010-09-27
,Manuel Nunes Junior,Q111945544,Minister of Economic and Social Development,2017-09-26,2019-12-31
Q109984868,Manuel Tavares de Almeida,Q111945542,Minister of Construction and Public Works,2017-09-26,2019-12-31
,Manuel da Costa Aragao,Q111945559,Minister of Justice,2004-12-17,2008-10-03
,Marcos Alexandre Nhunga,Q111945427,Minister of Agriculture,2016-08-28,2017-09-26
,Marcos Alexandre Nhunga,Q111945391,Minister of Agriculture and Forestry,2017-09-26,2019-07-24
Q44812203,Maria Filomena Lobão Telo Delgado,Q111945548,Minister of Family Issues and the Promotion of Women,2012-09-26,2017-09-26
Q51883409,Maria Idalina de Oliveira Valente,Q111945578,Minister of Trade,2008-10-03,2010-02-06
