item,itemLabel,position,positionLabel,start,end,psid
Q10311114,Joao Baptista Borges,Q65082136,Minister of Energy and Water,2012-09-26,2017-09-26,Q10311114-DF64EF32-089A-45FD-9989-1D3B22E54236
Q10311114,João Baptista Borges Pereira,Q65082136,Minister of Energy and Water,2017-09-26,,Q10311114-F6A10672-CC98-45AB-93DC-6B634B590FC4
Q105491239,Adelina Manassas,Q108282421,Minister of Health,1999-01-29,2000-01-28,Q105491239-0C63A539-D916-410D-9013-5EA03F2CEDCA
Q105491296,Antonio Henriques da Silva,Q111945570,Minister of Public Works and Urban Affairs,1999-01-29,2002-12-05,Q105491296-6DBA9033-2D91-46FF-AC06-B109812A2B7E
Q105491298,António Burity da Silva Neto,Q65081999,Minister of Education of Angola,1996-01-01,2010-02-06,Q105491298-02e1f1f3-494b-c4b5-6775-ad80236fa7b3
Q105491326,Joaquim Duarte da Costa David,Q6866123,Minister of Finance,1999-01-29,2000-10-09,Q105491326-A21B0EC4-5419-48A6-8249-3DC0F134EA26
Q105491332,Julio Bessa,Q6866123,Minister of Finance of Angola,2000-10-08,2002-12-04,Q105491332-EB9C2012-579B-418E-A1AF-24A35B49C5C0
Q105491338,Maria de Fátima Monteiro Jardim,Q111945547,Minister of Environment,2008-10-03,2017-09-26,Q105491338-ABD7D954-006C-45A6-B97B-32077312270D
Q105491344,Paulo Chipilica,Q111945559,Minister of Justice,1992-12-02,2004-12-17,Q105491344-102E62BA-A346-4F3D-80D7-73838AC6C7A9
Q105491346,Pedro Sebastiao,Q111945573,Minister of Security Household,2017-09-26,2020-01-17,Q105491346-18E806C9-B2AE-4F5E-8ACF-56C603A69E26
Q105491350,Salomao Luheto Xirimbimbi,Q111945550,Minister of Fishing,2002-12-05,2010-02-06,Q105491350-F7D4FE94-ED4B-4CE2-B449-42BDC6BC3508
Q105491353,Victorino Domingos Hossi,Q111945539,Minister of Commerce,1997-04-09,2004-10-23,Q105491353-8858F4DD-AE87-459C-89E0-52456DB1E432
Q109984862,Francisco Manuel Monteiro de Queiroz,Q109984660,Minister of Justice and Human Rights,2017-09-27,,Q109984862-11413DAC-D79C-475B-978C-9D6A6DB78F8C
Q109984863,Ricardo Daniel Sandão Queirós Viegas de Abreu,Q109984664,Minister of Transport,2018-01-01,,Q109984863-673F1DE9-7448-4246-94ED-EE9B4A962478
Q109984865,Maria do Rosário Braganca Sambo,Q109984666,"Minister of Higher Education, Science, Technology and Innovation",2017-01-01,,Q109984865-618E2515-0958-4E25-85BF-1FF49A2E8507
Q109984868,Manuel Tavares de Almeida,Q111945542,Minister of Construction and Public Works,2017-09-26,2020-01-17,Q109984868-B86DBEA5-032D-4F29-80B7-7FDABCD2C780
Q109984869,Joao Ernesto dos Santos,Q111945587,Minister of War Veterans,2017-09-26,2020-01-17,Q109984869-718E7F4A-D220-4180-9E6A-42AF86FAC02A
Q109984872,Faustina Fernandes Inglês de Almeida Alves,Q65081634,"Minister of Social Action, Family and Gender Promotion",2019-01-01,,Q109984872-E135F00E-4AAA-4530-9F26-E625EA016A9C
Q109984873,Eugénio César Laborinho,Q54479352,Minister of the Interior,2019-07-25,,Q109984873-525F12D9-B4D9-4F43-94C0-DC700A1EF66A
