name,id,found,desc
Abraao Pio dos Santos Gourgel,Q17064757,Abrahão Pio dos Santos Gourgel,Angolan politician
Adelina Manassas,Q105491239,Adelina Manassas,Angolan politician
Afonso Pedro Canga,Q4689381,Afonso Pedro Canga,Angolan politician
Ana Dias Lourenco,Q4750344,Ana Dias Lourenço,Angolan politician
Antonio Domingos Pitra Costa Neto,Q60929647,António Domingos Pitra da Costa Neto,Angolan politician
Antonio Henriques da Silva,Q105491296,Antonio Henriques da Silva,Angolan politician
António Bento Bembe,Q4777533,António Bento Bembe,Angolan politician
António Francisco de Assis,Q109984874,António Francisco de Assis,Angolan politician
António Paulo Kassoma,Q373591,Paulo Kassoma,Prime Minister of Angola
Armando Manuel,Q16190785,Armando Manuel,Technocrat and Angolan politician
Augusto Archer de Sousa Mangueira,Q60918484,Archer Mangueira,Angolan politician
Augusto da Silva Tomás,Q59156960,Augusto da Silva Tomás,Angolan politician
Boaventura Cardoso,Q4931550,Boaventura Cardoso,Angolan politician
Bornito de Sousa Baltazar Diogo,Q16336949,Bornito de Sousa,Angolan politician
Candida Celeste da Silva,Q51883210,Cândida Celeste da Silva,Angolan politician
Carolina Cerqueira,Q5044792,Carolina Cerqueira,Angolan politician
Diamantino Pedro Azevedo,Q75837385,Diamantino Pedro Azevedo,Angolan politician
Eugénio César Laborinho,Q109984873,Eugênio César Laborinho,Angolan politician
Fernando Faustino Muteka,Q3069456,Fernando Faustino Muteka,Angolan politician
Fernando José de França Dias Van-Dúnem,Q264090,Fernando José de França Dias Van-Dúnem,Prime Minister of Angola
Fernando da Piedade,Q310815,Fernando da Piedade Dias dos Santos,Angolan politician
Fiel Domingos Constantino,Q111626730,Fiel Domingos Constantino,Angolan politician
Francisco Higino Carneiro,Q5483447,Francisco Lopes Higino Carneiro,Angolan politician
Guilhermina Contreiras da Costa Prata,Q29876723,Guilhermina Contreiras da Costa Prata,Angolan politician
Joao Baptista Borges,Q109984647,João Baptista Borges,Angolan politician
Joao Bernardo de Miranda,Q3187284,João Bernardo de Miranda,Angolan politician
Joao Ernesto dos Santos,Q109984869,João Ernesto dos Santos,Angolan politician
Joaquim Duarte da Costa David,Q105491326,Joaquim Duarte da Costa David,Angolan politician
Job Graça,Q23892775,Job Graça,Angolan economist
José Pedro de Morais,Q3186515,José Pedro de Morais,Angolan politician
Julio Bessa,Q105491332,Julio Bessa,Angolan politician
Kundi Paihama,Q6444389,Kundy Paihama,Angolan politician
Luís Gomes Sambo,Q3268186,Luís Gomes Sambo,
Manuel Domingos Augusto,Q60865113,Manuel Domingos Augusto,Angolan diplomat
Manuel Domingos Vicente,Q973742,Manuel Vicente,Angolan politician
Manuel Neto da Costa,Q23892778,Manuel Neto da Costa,Angolan economist
Manuel Tavares de Almeida,Q109984868,Manuel Tavares de Almeida,Angolan politician
Maria Filomena Lobão Telo Delgado,Q44812203,Maria Filomena de Fátima Lobão Telo Delgado,Angolan politician
Maria Idalina de Oliveira Valente,Q51883409,Maria Valente,Angolan economist and politician
Maria de Fátima Monteiro Jardim,Q105491338,Maria de Fátima Monteiro Jardim,Angolan politician
Maria do Rosário Braganca Sambo,Q109984865,Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,Angolan politician
Osvaldo Serra van Dunem,Q6222208,Osvaldo de Jesus Serra Van-Dúnem,Angolan politician
Paula Francisco Coelho,Q54913987,Paula Francisco Coelho,
Paulo Chipilica,Q105491344,Paulo Chipilica,Angolan politician
Pedro Hendrick Vaal Neto,Q5713736,Hendrick Vaal Neto,Angolan diplomat
Pedro Luis da Fonseca,Q51120777,Pedro Luís da Fonseca,Angolan politician and economist
Pedro Sebastiao,Q105491346,Pedro Sebastiao,Angolan politician
Roberto Leal Monteiro,Q7351774,Roberto Leal Monteiro,Angolan politician
Salomao Luheto Xirimbimbi,Q105491350,Salomao Luheto Xirimbimbi,Angolan politician
Vera Daves,Q96441964,Vera Daves,Angolan politician
Virgilio Ferreira Fontes Pereira,Q111517202,Virgílio Ferreira de Fontes Pereira,
