item,itemLabel,startDate,endDate,sourceDate,psid
Q6298463,João de Matos,1992,2001,2022-05-10,Q6298463-77DFD89B-5923-459C-A547-F83ECBA9DBE8
Q111937228,Armando da Cruz Neto,2001,2003,2022-05-10,Q111937228-35C6575C-6640-4FDF-8076-5904B86EB583
Q111937234,Agostinho Fernandes Nelumb,2003,2006,2022-05-10,Q111937234-492C534F-1A9B-4833-BCAB-552437506F9F
Q111937240,Francisco Pereira Furtado,2006,2010,2022-05-10,Q111937240-9F5D5FC6-BB83-4F26-B536-5CE81426B148
Q105452385,Geraldo Nunda,2010-10-06,2018-04-23,2022-05-10,Q105452385-D6B8E72F-4D00-482D-8B04-6401602DB7CF
Q109984935,António Egídio de Sousa Santos,2018-04-23,,,Q109984935-7f127868-48cb-19c0-ecde-95468cc90177
