@@,item,itemlabel,startdate,enddate
+++,,Luís Paulino dos Santos,1987,2002
+++,,José Amaro Tati,2002,2008
+++,,Cândida Celeste da Silva,2008,2009
+++,,Álvaro de Boavida Neto,2009,2017
+++,,Pereira Alfredo,2018,
