item,itemLabel,startDate,endDate,sourceDate,psid
Q111994633,Cordeiro Ernesto Nzakundomba,1999,2002,2022-05-14,Q111994633-43EA553F-CE1D-42E0-862A-46EEA09102BD
Q111994629,Lázaro Xixima,2002,2004,2022-05-14,Q111994629-5E1D9D53-0AC5-42B2-BF20-DB34473A8290
Q111994638,António Bento Kangulo,2004,2008,2022-05-14,Q111994638-BF5287EC-8456-42A3-AD39-520952E62ABA
Q6794396,Mawete João Baptista,2008,2009,2022-05-14,Q6794396-71B76743-8637-49C1-94CF-570CD00D8889
Q111974356,Paulo Pombolo,2009,2017,2022-05-14,Q111974356-FFD2AA29-34DF-45A8-9057-6888CC5E626C
Q111954415,Mpinda Simão,2017,2020,2022-05-14,Q111954415-945860A1-0A32-4D76-A1F4-7F541991B74B
Q111974374,Sérgio Luther Rescova Joaquim,2020,2020,2022-05-14,Q111974374-74B162B0-7DA5-4244-BBE3-D38D8C1578DB
Q18276312,José Carvalho da Rocha,2020,,,Q18276312-75F8B51D-EE9F-4E76-B610-AD08309CB3B8
