id,name,partyLabel,constituencyLabel,homepage
ana.fernando,ANA PAULA INÊS LUÍS NDALA FERNANDO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/ana.fernando
anabela.gunga,ANABELA CAIOVO GUNGA,MPLA,Círculo Eleitoral Provincial do Bié,http://www.parlamento.ao/web/anabela.gunga
anastacio.sicato,ANASTÁCIO ARTUR RUBEN SICATO,UNITA,Circulo Eleitoral Nacional,http://www.parlamento.ao/web/anastacio.sicato
andre.carvalho,ANDRÉ GASPAR MENDES DE CARVALHO,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/andre.carvalho
angelica.ihungo,ANGÉLICA NENÉ CURITA IHUNGO,MPLA,Círculo Eleitoral Povincial da Lunda Norte,http://www.parlamento.ao/web/angelica.ihungo
antonino.jeremias,ANTÓNINO FILIPE TCHIYULO JEREMIAS,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/antonino.jeremias
antonio.neto,ANTÓNIO DOMINGOS PITRA COSTA NETO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/antonio.neto
antonio.evaristo,ANTÓNIO EVARISTO,MPLA,Círculo Eleitoral Provincial de Malange,http://www.parlamento.ao/web/antonio.evaristo
antonio.f.junior,ANTÓNIO FELICIANO FERREIRA JÚNIOR,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/antonio.f.junior
antonio.bembe,ANTÓNIO BENTO BEMBE,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/antonio.bembe
antonio.filipe,ANTÓNIO DOS SANTOS FILIPE,MPLA,Círculo Eleitoral Provincial do Bié,http://www.parlamento.ao/web/antonio.filipe
antonio.paulo,ANTÓNIO RODRIGUES AFONSO PAULO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/antonio.paulo
araujo.pena,ARAÚJO KACYKE PENA,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/araujo.pena
arlete.chimbinda,ARLETE LEONA CHIMBINDA,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/arlete.chimbinda
armando.capunda,ARMANDO CAPUNDA,MPLA,Círculo Eleitoral Provincial do Huambo,http://www.parlamento.ao/web/armando.capunda
augusto.nkondo,AUGUSTO PEDRO MAKUTA NKONDO,CASA-CE,Círculo Eleitoral Provincial do Zaire,http://www.parlamento.ao/web/augusto.nkondo
benedito.daniel,BENEDITO DANIEL,PRS,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/benedito.daniel
bento.kandala,BENTO RAIMUNDO KANDALA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/bento.kandala
bento.bento,BENTO JOAQUIM SEBASTIÃO FRANCISCO BENTO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/bento.bento
bibiana.nandombua,BIBIANA NANDOMBUA,MPLA,Circulo Eleitoral Provincial do Huambo,http://www.parlamento.ao/web/bibiana.nandombua
boaventura.cardoso,BOAVENTURA DA SILVA CARDOSO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/boaventura.cardoso
carlos.kandanda,CARLOS TIAGO KANDANDA,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/carlos.kandanda
carlos.cruz,CARLOS DA ROCHA CRUZ,MPLA,Namibe,http://www.parlamento.ao/web/carlos.cruz
carolina.elias,CAROLINA CRISTINA ELIAS,MPLA,Círculo Eleitoral Provincial do Namibe,http://www.parlamento.ao/web/carolina.elias
