name,positionLabel,position
Nuno Bernabé Mahapi Dala,Governador Provincial da Huíla,
Ernesto Muangala,Governador Provincial da Lunda Norte,
Daniel Félix Neto,Governador Provincial da Lunda Sul,
Luís Manuel da Fonseca Nunes,Governador Provincial de Benguela,
Marcos Alexandre Nhunga,Governador Provincial de Cabinda,
Ana Paula Chantre Luna de Carvalho,Governadora Provincial de Luanda,
"Norberto Fernandes dos Santos "" Kwata Kanawa""",Governador Provincial de Malanje,
Mara Regina da Silva Baptista Domingos Quiosa,Governadora Provincial do Bengo,
Pereira Alfredo,Governador Provincial do Bié,
José Martins,Governador Provincial do Cuando Cubango,
Adriano Mendes de Carvalho,Governador Provincial do Cuanza Norte,
Job Pedro Castelo Capapinha,Governador Provincial do Cuanza Sul,
Gerdina Ulipamue Didalelwa,Governadora Provincial do Cunene,
Lotti Nolika,Governadora Provincial do Huambo,
Gonçalves Manuel Muandumba,Governador Provincial do Moxico,
Augusto Archer de Sousa Mangueira,Governador Provincial do Namibe,
JOSÉ CARVALHO DA ROCHA,Governador Provincial do Uíge,
Pedro Makita Armando Júlia,Governador Provincial do Zaire,
