item,itemLabel,startDate,endDate,sourceDate,psid
Q11082410,Pedro Mutindi,1983,2008,2022-05-14,Q11082410-FBB42C94-B697-4237-87D4-4F13880D2504
Q111994493,António Didalelwa,2008,2016,2022-05-14,Q111994493-B0DA4097-D88E-4CBD-A03C-2C587711A938
Q6444389,Kundi Paihama,2016,2018,2022-05-14,Q6444389-3318C58F-F4F7-4312-A227-D01A567039AB
Q111974383,Vigílio da Ressurreição Bernardo Adriano Tyova,2018,2020,2022-05-14,Q111974383-04D1A07A-AE34-4C29-886A-27FE970EFC98
Q111974733,Gerdina Ulipamue Didalelwa,2020-02-01,,,Q111974733-7746a854-46e5-9b7c-3db1-42a995b83182
