item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender
Q59180409,ABEL LOURENÇO CHOCOLATE,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
Q59164229,ABEL XAVIER NZUZI LUBOTA,Q1129430,CASA-CE,,Círculo Eleitoral Provincial de Cabinda,,,male
Q59164305,ADALBERTO COSTA JÚNIOR,Q28699,UNITA,,Círculo Eleitoral Nacional,,,male
Q51883207,ADELINA CHILICA,Q28551,MPLA,,Círculo Eleitoral Provincial do Moxico,,,female
Q59180465,ADRIANO ABEL SAPINÃLA,Q28699,UNITA,,Círculo Eleitoral Provincial do Cuando Cubango,,,male
Q59209455,ADRIANO MEIRELES PATROCÍNIO,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
Q59209460,ADÉRITO JAIME FERNANDES KANDAMBO,Q28699,UNITA,,Círculo Eleitoral Provincial do Bié,,,male
,AGOSTINHO NDJAKA,Q28551,MPLA,,Círculo Eleitoral Provincial do Huambo,,,male
,ALBERTINA NAVEMBA NGOLO FELISBERTO,Q28699,UNITA,,Círculo Eleitoral Nacional,,,
Q59209550,ALBERTO FRANCISCO NGALANELA,Q28699,UNITA,,Circulo Eleitoral Provincial de Benguela,,,male
Q59283394,ALBERTO PAULINO,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
Q59209555,ALCIDES SAKALA SIMÕES,Q28699,UNITA,,Círculo Eleitoral Nacional,,,male
Q51883162,ALDINA MATILDE BARROS DA LOMBA,Q28551,MPLA,,Círculo Eleitoral Provincial de Cabinda,,,female
Q59209560,ALEXANDRE SEBASTIÃO ANDRÉ,Q1129430,CASA-CE,,Círculo Eleitoral Nacional,,,male
Q59209566,ALFREDO JUNQUEIRA DALA,Q28551,MPLA,,Círculo Eleitoral Provincial de Malange,,,male
Q59283395,ALICERCES PAULO BARTOLOMEU,Q28699,UNITA,,Círculo Eleitoral Nacional,,,male
Q59283398,AMILCAR CAMPOS COLELA,Q28699,UNITA,,Círculo Eleitoral Nacional,,,male
Q54824055,AMÁLIA MARIA ALEXANDRE,Q28551,MPLA,,Círculo Eleitoral Nacional,,,female
Q51883315,AMÉLIA CALUMBO QUINTA,Q28551,MPLA,,Círculo Eleitoral Nacional,,,female
Q51883316,AMÉLIA JUDITH ERNESTO,Q28699,UNITA,,Círculo Eleitoral Nacional,,,female
Q59660256,AMÉRICO ANTÓNIO CUONONOCA,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
Q51883317,ANA PAULA INÊS LUÍS NDALA FERNANDO,Q28551,MPLA,,Círculo Eleitoral Nacional,,,female
Q54824056,ANABELA CAIOVO GUNGA,Q28551,MPLA,,Círculo Eleitoral Provincial do Bié,,,female
Q59660258,ANASTÁCIO ARTUR RUBEN SICATO,Q28699,UNITA,,Circulo Eleitoral Nacional,,,male
Q59660259,ANDRÉ GASPAR MENDES DE CARVALHO,Q1129430,CASA-CE,,Círculo Eleitoral Nacional,,,male
Q54824057,ANGÉLICA NENÉ CURITA IHUNGO,Q28551,MPLA,,Círculo Eleitoral Povincial da Lunda Norte,,,female
Q54824060,ANSIA CAMUANGA CORREIA,Q28551,MPLA,,Círculo Eleitoral Provincial de Malange,,,female
Q59660331,ANTÓNINO FILIPE TCHIYULO JEREMIAS,Q28699,UNITA,,Círculo Eleitoral Nacional,,,male
Q4777533,ANTÓNIO BENTO BEMBE,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
,ANTÓNIO DOMINGOS PITRA COSTA NETO,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
,ANTÓNIO DOS SANTOS FILIPE,Q28551,MPLA,,Círculo Eleitoral Provincial do Bié,,,
,ANTÓNIO DOS SANTOS FRANÇA,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
,ANTÓNIO EVARISTO,Q28551,MPLA,,Círculo Eleitoral Provincial de Malange,,,male
,ANTÓNIO FELICIANO FERREIRA JÚNIOR,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
,ARAÚJO MACYKE PENA,Q28699,UNITA,,Círculo Eleitoral Nacional,,,male
,ARLETE LEONA CHIMBINDA,Q28699,UNITA,,Círculo Eleitoral Nacional,,,female
,ARMANDO CAPUNDA,Q28551,MPLA,,Círculo Eleitoral Provincial do Huambo,,,
,AUGUSTO PEDRO MAKUTA NKONDO,Q1129430,CASA-CE,,Círculo Eleitoral Provincial do Zaire,,,male
,BENEDITO DANIEL,Q1674856,PRS,,Círculo Eleitoral Nacional,,,male
Q16497857,BENTO JOAQUIM SEBASTIÃO FRANCISCO BENTO,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
,BENTO RAIMUNDO KANDALA,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
,BIBIANA NANDOMBUA,Q28551,MPLA,,Circulo Eleitoral Provincial do Huambo,,,female
Q4931550,BOAVENTURA DA SILVA CARDOSO,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
,CARLOS TIAGO KANDANDA,Q1129430,CASA-CE,,Círculo Eleitoral Nacional,,,male
,CAROLINA CRISTINA ELIAS,Q28551,MPLA,,Círculo Eleitoral Provincial do Namibe,,,female
,CELSO EDUARDO TORRES CAPINGÃLA,Q28699,UNITA,,Círculo Elaitoral Nacional,,,male
,CESINANDA TERESA JOSÉ DE KERLAN XAVIER NARCISO,Q1129430,CASA-CE,,Círculo Eleitoral Nacional,,,
,CLARICE MUKINDA,Q28699,UNITA,,Círculo Eleitoral Nacional,,,
,CÂNDIDA CELESTE DA SILVA,Q28551,MPLA,,Círculo Eleitoral Nacional,,,female
,CÂNDIDA MARIA GUILHERME NARCISO,Q28551,MPLA,,Circulo Eleitoral Provincial da Lunda Sul,,,female
,CÂNDIDO PEREIRA DOS SANTOS VAN-DÚNEM,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
,DANIEL ANTÓNIO,Q28551,MPLA,,Círculo Eleitoral Provincial Kuanza Norte,,,male
,DIAMANTINO DOMINGOS MUSSOCOLA,Q28699,UNITA,,Círculo Eleitoral Nacional,,,
,DIÓGENES DO ESPÍRITO SANTO OLIVEIRA,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
,DOMINGOS AFONSO,Q28551,MPLA,,Círculo Elaitoral Provincial do Cuanza Sul,,,
,DOMINGOS JOÃO FERREIRA PINTO,Q28551,MPLA,,Cículo Eleitoral Provincial do Cuanza Norte,,,male
,DOMINGOS OLIVEIRA,Q28699,UNITA,,Circulo Eleitoral Provincial da Lunda Norte,,,
,DULCE GINGA,Q28551,MPLA,,Círculo Eleitoral Nacional,,,female
,EDUARDA MARIA NICOLAU SILVESTRE MAGALHÃES,Q28551,MPLA,,Cículo Eleitoral Provincial de Benguela,,,female
,EDUARDO DUMBO DELFINO,Q28699,UNITA,,Circulo Eleitoral Provincial do Huambo,,,
,EDUARDO GOMES NELUMBA,Q28551,MPLA,,Círculo Eleitoral Nacional,,,male
,ELIAS PIEDOSO CHIMUCO,Q28551,MPLA,,Círculo Eleitoral Provincial do Cuando Cubango,,,male
,ELVIRA PEREGRINA DE JESUS VAN-DÚNEM,Q28551,MPLA,,Círculo Eleitoral Provincial do Bengo,,,female
,EMÍLIA CARLOTA SEBASTIÃO CELESTINO DIAS,Q28551,MPLA,,Círculo Eleitoral Nacional,,,female
,ERMELINDA CAMBUNDO FADÁRIO MÁQUINA,Q28551,MPLA,,Círculo Eleitoral Provincial do Bié,,,female
