name,position
Manuel Nunes Junior,Ministro de Estado para a Coordenação Económica
Adão Francisco Correia de Almeida,Ministro de Estado e Chefe da Casa Civil do Presidente da República
Carolina Cerqueira,Ministra de Estado para Área Social
Francisco Pereira Furtado,Ministro de Estado e Chefe da Casa Militar do Presidente da República
Edeltrudes Maurício Fernandes Gaspar da Costa,Ministro e Director do Gabinete do Presidente da República
Sebastião Domingos Gunza,Inspector Geral da Administração do Estado
Félix de Jesus Cala,Secretário-Geral do Presidente da República
Fernando Bartolomeu Cativa,Secretário do Presidente da República para os Assuntos Políticos e Parlamentares
Victor Manuel Rita da Fonseca Lima,Secretário do Presidente da República para os Assuntos Diplomáticos e de Cooperação Internacional
Isaac Francisco Maria dos Anjos,Secretário do Presidente da República para o Sector Produtivo
Victor Hugo Guilherme,Secretário do Presidente da República para os Assuntos Económicos
Francisco João de Carvalho Neto,Secretário do Presidente da República para os Assuntos Judiciais e Jurídicos
Pedro Fiete Correia Raimundo,Secretário do Presidente da República para a Reforma do Estado
Maria de Fátima Republicano de Lima Viegas,Secretário do Presidente da República para os Assuntos Sociais
Luís Fernando,Secretário do Presidente da República para os Assuntos de Comunicação Institucional e Imprensa
Edson Ulisses de Carvalho Alves Barreto,Director do Gabinete de Quadros do Presidente da República
