@@,name,partylabel,item
---,Abel Epalanga Chivukuvuku,,Q2821497
+++,Abílio José Augusto Kamalata Numa,UNITA,
+++,Adelino Marques de Almeida,MPLA,
+++,Adriana Sofia Cacuassa Bento,MPLA,
+++,Adriano Botelho de Vasconcelos,MPLA,
+++,Adriano Mendes de Carvalho,MPLA,
+++,Adão Cristóvão Neto,MPLA,
+++,Adélia Maria Pires da Conceição de Carvalho,MPLA,
+++,Afonso Domingos Pedro Van-Dúnem,MPLA,
+++,Afonso Maria Vaba,MPLA,
+++,Agostinho Ndjaka,MPLA,
+++,Albertina Cungingomoco Muxindo,MPLA,
+++,Albertina Teresa José,MPLA,
+++,Alda Juliana Paulo Sachiambo,UNITA,
+++,Alfredo Berner,MPLA,
+++,Alfredo Furtado de Azevedo Júnior,MPLA,
+++,Alice Paulina Dombolo Chivaca,MPLA,
+++,Almerindo Jaka Jamba,UNITA,
+++,Amaro Cacoma da Silva,MPLA,
+++,Ana Afonso Dias Lourenço,MPLA,
+++,Ana Maravilha Borges Alé Fernandes,MPLA,
+++,Ana Maria Manuel João Taveira,MPLA,
+++,Ana Maria da Silva Sousa e Silva,MPLA,
+++,Ana Maria de Oliveira,MPLA,
+++,Ana Paula Cristóvão de Lemos dos Santos,MPLA,
+++,Ana Paula Inês Luís Ndala Fernando,MPLA,
+++,Anabela Manuel dos Santos Alberto,MPLA,
+++,Anabela Trindade Jordão da Silva,MPLA,
+++,Anabela da Graça Alexandre Leitão,MPLA,
+++,António Daniel Ventura de Azevedo ,MPLA,
+++,António Domingos Pitra da Costa Neto,MPLA,
+++,António Francisco Cortez,MPLA,
+++,António Paulo Kassoma,MPLA,
+++,António Sambuquila,MPLA,
+++,António dos Santos França,MPLA,
+++,Aníbal João da Silva Melo,MPLA,
+++,Armando Dala,MPLA,
+++,Armando da Cruz Neto,MPLA,
+++,Augusto Cachitiopololo,MPLA,
+++,Aurora Junjo Cassule,MPLA,
+++,Beatriz Aurora Neves Salucombo,MPLA,
+++,Bento Joaquim Sebastião Francisco Bento,MPLA,
---,Bornito de Sousa,,Q16336949
+++,Bornito de Sousa Baltazar Diogo,MPLA,
+++,Carla Maria Leitão Ribeiro de Sousa,MPLA,
+++,Carlito Roberto,FNLA,
+++,Carlos Alberto Ferreira Pinto,MPLA,
+++,Carlos Francisco Conde,MPLA,
+++,Carlos Magalhães,MPLA,
+++,Carlos de Oliveira Fontoura,UNITA,
+++,Carolina Cerqueira,MPLA,
+++,Carolina Cristina Elias,MPLA,
+++,Cassongo João da Cruz,MPLA,
+++,Catarina Pedro Domingos,MPLA,
+++,Clarisse Matilde Munga Kaputu,UNITA,
+++,Cristóvão Domingos Francisco da Cunha,MPLA,
+++,Cândida Celeste da Silva,MPLA,
+++,Cândida Maria Guilherme Narciso,MPLA,
+++,Daniel António,MPLA,
+++,Delfina Helena Inácio,MPLA,
+++,Demóstenes Amós Chilingutila,UNITA,
+++,Desidério da Graça Mpingue Kalenga Wapota,MPLA,
+++,Diógenes do Espírito Santo Oliveira,MPLA,
+++,Domingos Paulino Dembele,MPLA,
+++,Dumilde das Chagas Simões Rangel,MPLA,
+++,Edite Livila V. L. Manuel,MPLA,
+++,Eduarda Maria Nicolau Silvestre Magalhães,MPLA,
+++,Eduardo Kuangana,PRS,
+++,Elias Satyohamba,MPLA,
+++,Elvira Peregrina de Jesus Van-Dúnem,MPLA,
+++,Emília Carlota Sebastião Celestino Dias,MPLA,
