item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q2821497,Abel Epalanga Chivukuvuku,,,,,2012,,male,Q2821497-C4DDAEE7-AA62-45F6-9695-A2776FAAC0A9
Q16336949,Bornito de Sousa,,,,,2012,,male,Q16336949-1CECBC9D-31CA-4C0B-A964-7A980CF70302
Q5483447,Francisco Higino Carneiro,Q28551,Movimento Popular de Libertação de Angola,,,2008,,male,Q5483447-6CFCF79B-739A-4D81-8269-A7C6E655CFCD
Q15361222,Paulo Armindo Lukamba,Q28699,União Nacional para a Independência Total de Angola,,,2008,,male,Q15361222-D628244F-6FA8-4116-AE13-70B0CF4E7DBC
