name,partyLabel
Ana Maria da Silva Sousa e Silva,MPLA
Victória Francisco Lopes Cristóvão de Barros Neto,MPLA
Ana Maria de Oliveira,MPLA
Maria Idalina de Oliveira Valente,MPLA
Alfredo Furtado de Azevedo Júnior,MPLA
Emílio José Homem Gomes,MPLA
Isaac Francisco Maria dos Anjos,MPLA
Rui Luís Falcão Pinto de Andrade,MPLA
Pedro Domingos Peterson,MPLA
António Francisco Cortez,MPLA
Carlos Magalhães,MPLA
Guilhermina Contreiras da Costa Prata,MPLA
Eufrazina Teresa da Costa Lopes Gomes Maiato,MPLA
Aurora Junjo Cassule,MPLA
Eulália Maria Alves Rocha Silva,MPLA
Welwitchia José dos Santos,MPLA
Genoveva da Conceição Lino,MPLA
Amaro Cacoma da Silva,MPLA
António Daniel Ventura de Azevedo,MPLA
Tomás Simão da Silva,MPLA
Mateus Isabel Júnior,MPLA
João Luís Neto,MPLA
Victória Manuel da Silva Izata,MPLA
Adelino Marques de Almeida,MPLA
Faustina Fernandes Inglês de Almeida Alves,MPLA
Victória Francisco Correia da Conceição,MPLA
Beatriz Aurora Neves Salucombo,MPLA
Maria Rosa de Lourdes,MPLA
Isaías Henrique Gola Samakuva,UNITA
Ernesto Joaquim Mulato,UNITA
Abílio José Augusto Kamalata Numa,UNITA
Miraldina Olga Marcos Jamba,UNITA
Lukamba Paulo,UNITA
Mártires Correia Victor,UNITA
Silvestre Gabriel Samy,UNITA
Clarisse Matilde Munga Kaputu,UNITA
Regina Eduardo Txipoia,UNITA
Demóstenes Amós Chilingutila,UNITA
Carlos de Oliveira Fontoura,UNITA
Alda Juliana Paulo Sachiambo,UNITA
José Manuel Chiwale,UNITA
Almerindo Jaka Jamba,UNITA
Eduardo Kuangana,PRS
João Baptista Ngandagina,PRS
Luís Wachihassa Maiajala,PRS
Sapalo António,PRS
Pedrito Cuchiri,PRS
Quintino António Moreira,ND
Nzola P. Mamona,ND
Ngola Kabangu,FNLA
Nimi A Simb,FNLA
