@@,itemlabel,item,startdate,enddate
+++,Saidy Vieira Dias Mingas,,1975-11,1977-05
->,Ismael Martins->Ismael Gaspar Martins,Q5526551,1977-08,1982-08
+++,Augusto Teixeira Jorge de Matos,,1982-08,1990-06
+++,Mário de Alcântara Monteiro,,1992-04,1992-12
+++,Salomão José Luheto Xirimbimbi,,1992-12,1993-02
+++,Emanuel Carneiro,,1993-02,1994-03
+++,Mário de Alcântara Monteiro,,1996-03,1999-06
+++,Joaquim D. C. David,Q111916361,1999-06,2000-10
+++,Júlio Marcelino Vieira Bessa,Q111916358,2000-10,2002-12
+++,Eduardo Leopoldo Severin de Morais,Q111916354,2008-10,2010-02
+++,Carlos Alberto Lopes,Q111916352,2010-02,2013-05
->,Armando Manuel,Q16190785,2013-05-09->2013-05,2016-09-05
->,Archer Mangueira,Q60918484,2016-09-05,2019-10-08->2019-10-09
->,Vera Daves,Q96441964,2019-10-08->2019-10-09,
