item,itemLabel,startDate,endDate,sourceDate,psid
Q105491326,Joaquim D. C. David,1999-01-29,2000-10-09,2022-05-09,Q105491326-A21B0EC4-5419-48A6-8249-3DC0F134EA26
Q105491332,Júlio Marcelino Vieira Bessa,2000-10-08,2002-12-04,2022-05-09,Q105491332-EB9C2012-579B-418E-A1AF-24A35B49C5C0
Q3186515,José Pedro de Morais,2002-12,2008-10,,Q3186515-771A4D11-ABFA-4E0F-ADCC-F3BC08DDBC53
Q111916354,Eduardo Leopoldo Severin de Morais,2008-10,2010-02,2022-05-09,Q111916354-9BDD62E5-8EAE-4223-BF4A-8200B85A18F9
Q111916352,Carlos Alberto Lopes,2010-02,2013-05,2022-05-09,Q111916352-16064B10-E39A-4A0A-9EB5-18C5EF62D96E
Q16190785,Armando Manuel,2013-05-09,2016-09-05,,Q16190785-E214AB86-4DE9-4AF5-97F2-123E87D6DE0D
Q60918484,Archer Mangueira,2016-09-05,2019-10-08,,Q60918484-888ea068-424d-e653-92b9-db513a9b5126
Q96441964,Vera Daves,2019-10-08,,,Q96441964-f77b1c89-b87b-4a21-8f3c-fca0d457bd06
